ID,Num,USO,Num USO,NSE U/S,Updated Manual,A,B,C,D,E,C1,C2,C3,IL,IM,IP,QTY servicios,VOZ,Datos s/dom,Datos,Datos-fibra-telmex-inf,TV Cable,DISH,TVS,SKY,VETV,QTY Nom Neg,Line #,Nom Neg,,PRUEBA A/?-
1055,521,COMERCIAL,4,V,,,,,,,,,1,,,,1,3,,,,,,,,,0,0,,,
1056,274,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,20,LC,,
1057,319,COMERCIAL,4,V,,,,,,,,,1,,,,1,2,,,,,,,,,1,18,BAR,,
1058,506,COMERCIAL,4,V,,,,,,,,,1,,,,1,2,,,,,,,,,1,27,LCV,,
1059,519,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,19,DENTISTA,,
1060,518,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,4,TRANSPORTES,,
1061,516,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,5,ESTETICA,,
1062,S/N,,,V,,,,,1,,,,,,,,0,,,,,,,,,,0,0,,,
1063,512,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,7,OPTICA,,
1064,10,,,V,,,,1,,,,,,,,,1,1,,,,,,,,,0,0,,,
1065,200,,,V,,,,1,,,,,,,,,1,1,,,,,,,,,0,0,,,
1066,510,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,9,CONSTRUCCION,,
1067,513,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,0,0,,,
1068,511,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,0,0,,,
1069,509,COMERCIAL,4,V,,,,,,,,,2,,,,1,1,,,,,,,,,0,0,,,
1070,321,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,1,ESTACION,,
1071,316,COMERCIAL,4,V,,,,,,,,1,,,,,0,,,,,,,,,,1,8,OFICINAS,,
1072,487,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,0,0,,,
1073,S/N,,,V,,,,,,1,,,,,,,0,,,,,,,,,,0,0,,,
1074,S/N,,,V,,,,,,1,,,,,,,0,,,,,,,,,,0,0,,,
1075,508,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,0,0,,,
1076,3506,,,V,,,,,1,,,,,,,,0,,,,,,,,,,0,0,,,
1077,507,COMERCIAL,4,V,,,,,,,,,6,,,,1,3,,,,,,,,,1,26,CONSULTORIOS,,
1078,505,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,0,0,,,
1079,504,,,V,,,,,1,,,,,,,,0,,,,,,,,,,0,0,,,
1080,581,COMERCIAL,4,V,,,,,,,,,5,,,,0,,,,,,,,,,1,10,SEC. DE DESA.,,
1081,500,COMERCIAL,4,V,,,,,,,,,1,,,,1,6,,,,,,,,,1,2,OFICINA,,
1082,485,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,0,0,,,
1083,489,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,0,0,,,
1084,491,,,V,,,,,1,,,,,,,,0,,,,,,,,,,0,0,,,
1085,543,,,V,,,,1,,,,,,,,,2,1,,,,1,,,,,0,0,,,
1086,497,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,60,INFONAVIT,,
1087,499,,,V,,,,,1,,,,,,,,0,,,,,,,,,,0,0,,,
1088,501,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,63,GYM,,
1089,313-B,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,0,0,,,
1090,328-A,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,83,LC,,
1091,328,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,82,LC,,
1092,S/N,COMERCIAL,4,V,,,,,,,,1,,,,,0,,,,,,,,,,1,12,ADUANA,,
1093,475,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,38,CLINICA,,
1094,616,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,44,CENTRO VAQUERO,,
1095,309,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,0,0,,,
1096,610,COMERCIAL,4,V,,,,,,,,,1,,,,1,7,,,,,,,,,1,47,4 - LC,,
1097,477,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,39,TAQUERIA,,
1098,489,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,51,LC,,
1099,491,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,52,BAR,,
1100,495,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,53,LC,,
1101,487,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,85,CLINICA,,
1102,489,,,V,,,,1,,,,,,,,,1,1,,,,,,,,,0,0,,,
1103,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,0,0,,,
1104,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,0,0,,,
1105,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,0,0,,,
1106,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,0,0,,,
1107,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,0,0,,,
1108,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,0,0,,,
1109,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,0,0,,,
1110,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,6,C.DENTAL,,
1111,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,0,0,,,
1112,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,0,0,,,
1113,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,0,0,,,
1114,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,0,0,,,
1115,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,0,0,,,
1116,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,0,0,,,
1117,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,0,0,,,
1118,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,71,LC,,
1119,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,72,LC,,
1120,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,73,LC,,
1121,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,74,LC,,
1122,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,75,BAR,,
1123,S/N,,,,,,,,,,,,,,,,0,,,,,,,,,,1,79,ESTACIONAMIENTO,,
1124,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,80,LC,,
1125,,BALDIO,2,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,
1126,S/N,,,V,,,,,1,,,,,,,,0,,,,,,,,,,0,0,,,
1127,,BALDIO,2,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,
1128,S/N,,,,,,,,,,,,,,,,0,,,,,,,,,,1,13,ESTACIONAMIENTO,,
1129,,BALDIO,2,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,
1130,,BALDIO,2,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,
1131,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,14,ESTACIONAMIENTO,,
1132,,BALDIO,2,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,
1133,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,21,OF. DES. ECONOMICO,,
1134,,BALDIO,2,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,
1135,,BALDIO,2,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,
1136,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,22,FUNERARIA,,
1137,,BALDIO,2,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,
1138,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,25,LC,,
1139,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,45,LCV,,
1140,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,1,1,,,,,,,,,1,40,CAFE,,
1141,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,1,,,,,1,,,,,1,41,HOTEL,,
1142,S/N,,,,,,,,,,,,,,,,0,,,,,,,,,,1,42,ESTACIONAMIENTO,,
1143,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,46,LC,,
1144,S/N,,,V,,,,,6,,,,,,,,0,,,,,,,,,,1,54,DPTS,,
1145,S/N,IGLESIA,7,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,
1146,S/N,,,,,,,,,,,,,,,,0,,,,,,,,,,1,88,ADUANA,,
1147,S/N,IGLESIA,7,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,
1148,S/N,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,
1149,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,31,LC,,
1150,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,32,LC,,
1151,S/N,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,
1152,S/N,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,
1153,S/N,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,
1154,S/N,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,
1155,S/N,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,
1156,S/N,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,
1157,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,0,,,,,,,,,,1,61,BARBERIA,,
1158,S/N,COMERCIAL,4,V,,,,,,,,,1,,,,1,3,,,,,,,,,1,58,FARMACIA,,
